factor,class,IC
Elevation,1000-1500,-0.02717368789267553
Elevation,1500-2000,0.14063797256429889
Elevation,2000-2500,-0.24780460890360506
Elevation,<1000,-0.36165072479973037
Elevation,>2500,-2.1405067891918774
Slope,15-25,0.10671000008446839
Slope,25-35,-0.19396050779959084
Slope,35-45,-0.2693301987980203
Slope,5-15,0.11684253491912576
Slope,<5,-0.7021715499469434
Slope,>45,-0.5802591209485487
Aspect,E,0.03975025488763869
Aspect,N,0.05885911658568521
Aspect,NE,0.06531075186717367
Aspect,NW,-0.061559440751652025
Aspect,S,0.1320781086145298
Aspect,SE,-0.04258624714636996
Aspect,SW,-0.11188018742981513
Aspect,W,-0.09735852288802843
NDVI,0-0.2,0.3864126352179588
NDVI,0.2-0.4,0.20732934706297104
NDVI,0.4-0.6,-0.2884747488463238
NDVI,<=0,-0.9167313575697615
NDVI,>0.6,-1.1225834117739104
MAP,1000-1100,-0.05789768072039394
MAP,800-900,0.015819895176173628
MAP,900-1000,-0.24741151309037393
MAP,<=800,0.1602153174050996
MAP,>1100,-0.0659867035934776
Distance to Roads,0,-0.1125703226880155
Distance to Roads,1,-0.09863265187482052
Distance to Roads,2,0.0689205021018957
Distance to Roads,3,0.18188093109834802
Distance to Roads,4,0.25116539028236473
Distance to Faults,0,-0.021461650949395592
Distance to Faults,1,0.32920564585520645
Distance to Faults,2,-0.031856821928985514
Distance to Faults,3,0.06787861828187063
Distance to Rivers,0,-0.03416165566306226
Distance to Rivers,1,0.0215382810231686
Distance to Rivers,2,-0.008879494341471256
Distance to Rivers,3,0.18628622456626445
Distance to Rivers,4,0.17739661865101938
Lithology,1,-0.23155234665899324
Lithology,2,-0.017875687517707867
Lithology,3,0.09461052030335841
Lithology,4,0.004214153849375937
