Aspest,Elevation,Slope,MAP,Distance to Roads,Distance to Faults,Distance to Rivers,NDVI,Lithology,label
0.881403,1665,28.4458008,841.6879883,4,0,4,0.523518,2,1
192.2319946,2247,31.3694992,1319.449951,0,0,0,0.622307,4,0
4.5139899,1830,17.6226006,1035.709961,1,0,0,0.265062,2,1
201.0379944,1801,13.0691996,806.9630127,0,0,0,0.117405,3,1
275.0419922,2010,15.8775997,821.3339844,0,0,0,0.44557,2,0
187.9429932,805,35.8899002,889.9990234,0,0,0,0.292923,4,1
42.2737007,1307,26.3600998,887.0579834,0,0,0,0.526714,2,0
0,1091,26.5650997,823.4130249,0,0,3,0.446154,2,0
265.6010132,1323,20.8211002,730.4819946,2,1,2,0.464099,4,1
309.053009,1863,15.8743,1254.550049,4,0,0,0.229427,4,1
157.3800049,1291,12.2250996,804.5109863,0,0,0,0.497168,4,0
251.2109985,1682,23.1184006,877.0819702,4,0,0,0.386081,2,0
170.4170074,1908,18.0235004,1130.140015,0,0,0,0.557266,2,1
203.1990051,2091,12.5235996,852.7219849,0,0,0,0.157876,2,1
205.7409973,2072,27.3875999,853.6589966,0,0,0,0.466739,2,0
10.3048,1636,29.2059002,843.1879883,4,0,0,0.231745,2,0
344.4760132,565,8.8487501,874.5410156,3,0,3,0.231482,1,0
313.7810059,1380,15.4834003,719.6640015,3,0,1,0.322177,4,1
279.4620056,1720,14.2221003,796.6459961,3,1,2,0.307074,3,1
349.6950073,886,20.4393005,910.3870239,4,0,0,0.433989,2,1
348.3890076,1654,17.2507,1031.920044,0,0,0,0.237284,4,1
186.4700012,1584,22.1343994,769.6959839,3,0,2,0.157707,4,1
340.9590149,1065,26.4773006,983.276001,0,0,2,0.42852,4,0
119.0550003,2567,12.1061001,959.4439697,0,0,2,0.562968,2,0
180.4440002,1756,28.2586994,818.8599854,0,0,0,0.362951,2,1
302.0050049,1583,17.4566002,955.6290283,2,0,1,0.324156,2,1
101.8889999,1358,25.8924999,883.2930298,0,0,1,0.561723,4,0
37.3209991,1778,27.8869991,722.5830078,3,0,0,0.398352,4,0
346.2319946,1832,32.9342995,787.3809814,4,3,0,0.347477,3,0
252.7590027,1720,7.21067,753.28302,2,0,3,0.309746,2,1
167.0050049,1841,21.2625999,1047.290039,3,0,0,0.406236,4,0
233.0050049,1829,20.8484993,756.5159912,0,0,0,0.160545,4,0
291.3179932,1318,20.1410999,752.4609985,1,0,1,0.440221,4,1
21.8013992,875,17.4393005,986.1270142,0,2,0,0.520578,3,0
241.5789948,1506,38.8482018,786.7949829,4,3,4,0.419277,2,1
82.998703,1912,13.4569998,807.8129883,0,0,0,0.326273,2,1
94.6858978,2077,14.3065996,840.1099854,0,2,0,0.572026,2,0
341.053009,1554,16.4444008,928.9359741,0,0,0,0.511314,2,0
9.5829401,1505,18.0235004,748.4039917,0,0,1,0.28316,2,1
158.6289978,1853,11.6301003,808.177002,0,0,0,0.219047,2,0
296.3420105,1328,25.5895004,762.1400146,3,0,4,0.547632,2,1
84.0354996,1656,29.3085995,1122.150024,0,0,0,0.437099,4,0
315,1800,2.0248699,805.0100098,2,0,0,0.360254,1,0
119.1969986,1849,17.9820004,998.8449707,0,0,0,0.255419,2,1
